Length,MN,CR,ND,NY
12,,0.494,0.4000,
12.25,,0.525,0.4250,
12.5,,0.558,0.4500,
12.75,,0.592,0.4750,
13,,0.628,0.5000,
13.25,,0.665,0.5250,
13.5,,0.703,0.5500,
13.75,,0.743,0.5750,
14,,0.784,0.6000,
14.25,,0.827,0.6250,
14.5,,0.871,0.6500,
14.75,,0.917,0.6750,
15,,0.964,0.7000,
15.25,,1.013,0.7500,
15.5,,1.064,0.8000,
15.75,,1.116,0.8500,
16,,1.170,0.9000,
16.25,,1.2260,0.9500,
16.5,,1.2835,1.0000,
16.75,,1.3427,1.0500,
17,,1.4037,1.1000,
17.25,,1.4666,1.1500,
17.5,,1.5313,1.2000,
17.75,,1.5978,1.2500,
18,,1.6663,1.3000,
18.25,,1.7367,1.3500,
18.5,,1.8090,1.4000,
18.75,,1.8834,1.4500,
19,,1.9597,1.5000,1.4375
19.25,,2.0381,1.5750,1.5000
19.5,,2.1185,1.6500,1.5625
19.75,,2.2011,1.7250,1.6250
20,,2.2857,1.8000,1.6875
20.25,,2.3725,1.8750,1.7500
20.5,,2.4615,1.9500,1.8125
20.75,,2.5526,2.0250,1.8750
21,,2.6460,2.1000,1.9375
21.25,,2.7416,2.1750,2.0156
21.5,,2.8395,2.2500,2.0938
21.75,,2.9397,2.3250,2.1719
22,,3.0423,2.4000,2.2500
22.25,,3.1472,2.4750,2.3281
22.5,,3.2545,2.5500,2.4063
22.75,,3.3642,2.6250,2.4844
23,,3.4763,2.7000,2.5625
23.25,,3.5909,2.8250,2.6563
23.5,,3.7080,2.9500,2.7500
23.75,,3.8276,3.0750,2.8438
24,3.2000,3.9497,3.2000,2.9375
24.25,3.3000,4.0744,3.3250,3.0313
24.5,3.4000,4.2018,3.4500,3.1250
24.75,3.5000,4.3317,3.5750,3.2188
25,3.6000,4.4643,3.7000,3.3125
25.25,3.7000,4.5996,3.8000,3.4063
25.5,3.8000,4.7375,3.9000,3.5000
25.75,3.9000,4.8782,4.0000,3.5938
26,4.0000,5.0217,4.1000,3.6875
26.25,4.1500,5.1680,4.2250,3.7969
26.5,4.3000,5.3170,4.3500,3.9063
26.75,4.4500,5.4689,4.4750,4.0156
27,4.6000,5.6237,4.6000,4.1250
27.25,4.7500,5.7814,4.7250,4.2344
27.5,4.9000,5.9420,4.8500,4.3438
27.75,5.0500,6.1055,4.9750,4.4531
28,5.2000,6.2720,5.1000,4.5625
28.25,5.3500,6.4415,5.2500,4.6875
28.5,5.5000,6.6140,5.4000,4.8125
28.75,5.6500,6.7896,5.5500,4.9375
29,5.8000,6.9683,5.7000,5.0625
29.25,5.9500,7.1501,5.8500,5.2031
29.5,6.1000,7.3350,6.0000,5.3438
29.75,6.2500,7.5230,6.1500,5.4844
30,6.4000,7.7143,6.3000,5.6250
30.25,6.5750,7.9088,6.4750,5.7656
30.5,6.7500,8.1065,6.6500,5.9063
30.75,6.9250,8.3074,6.8250,6.0469
31,7.1000,8.5117,7.0000,6.1875
31.25,7.2750,8.7193,7.1750,6.3438
31.5,7.4500,8.9303,7.3500,6.5000
31.75,7.6250,9.1446,7.5250,6.6563
32,7.8000,9.3623,7.7000,6.8125
32.25,8.0000,9.5834,7.8875,6.9688
32.5,8.2000,9.8080,8.0750,7.1250
32.75,8.4000,10.0361,8.2625,7.2813
33,8.6000,10.2677,8.4500,7.4375
33.25,8.8000,10.5028,8.6375,7.6094
33.5,9.0000,10.7415,8.8250,7.7813
33.75,9.2000,10.9838,9.0125,7.9531
34,9.4000,11.2297,9.2000,8.1250
34.25,9.6250,11.4793,9.4250,8.2969
34.5,9.8500,11.7325,9.6500,8.4688
34.75,10.0750,11.9894,9.8750,8.6406
35,10.3000,12.2500,10.1000,8.8125
35.25,10.5250,12.5144,10.3250,9.0156
35.5,10.7500,12.7825,10.5500,9.2188
35.75,10.9750,13.0545,10.7750,9.4219
36,11.2000,13.3303,11.0000,9.6250
36.25,11.4500,13.6099,11.2500,9.8125
36.5,11.7000,13.8935,11.5000,10.0000
36.75,11.9500,14.1809,11.7500,10.1875
37,12.2000,14.4723,12.0000,10.3750
37.25,12.4750,14.7676,12.2500,10.5938
37.5,12.7500,15.0670,12.5000,10.8125
37.75,13.0250,15.3703,12.7500,11.0313
38,13.3000,15.6777,13.0000,11.2500
38.25,13.5750,15.9892,13.2750,11.4688
38.5,13.8500,16.3048,13.5500,11.6875
38.75,14.1250,16.6244,13.8250,11.9063
39,14.4000,16.9483,14.1000,12.1250
39.25,14.7000,17.2763,14.3750,12.3594
39.5,15.0000,17.6085,14.6500,12.5938
39.75,15.3000,17.9450,14.9250,12.8281
40,15.6000,18.2857,15.2000,13.0625
40.25,15.9000,18.6307,15.5000,13.3125
40.5,16.2000,18.9800,15.8000,13.5625
40.75,16.5000,19.3337,16.1000,13.8125
41,16.8000,19.6917,16.4000,14.0625
41.25,,20.0541,16.7000,14.3281
41.5,,20.4210,17.0000,14.5938
41.75,,20.7922,17.3000,14.8594
42,,21.1680,17.6000,15.1250
42.25,,21.5483,17.9375,15.3906
42.5,,21.9330,18.2750,15.6563
42.75,,22.3224,18.6125,15.9219
43,,22.7163,18.9500,16.1875
43.25,,23.1148,19.2875,16.4688
43.5,,23.5180,19.6250,16.7500
43.75,,23.9258,19.9625,17.0313
44,,24.3383,20.3000,17.3125
44.25,,24.7555,20.6625,17.6094
44.5,,25.1775,21.0250,17.9063
44.75,,25.6042,21.3875,18.2031
45,,26.0357,21.7500,18.5000
45.25,,26.4721,22.1125,18.8125
45.5,,26.9133,22.4750,19.1250
45.75,,27.3593,22.8375,19.4375
46,,27.8103,23.2000,19.7500
46.25,,28.2662,23.6125,20.0781
46.5,,28.7270,24.0250,20.4063
46.75,,29.1929,24.4375,20.7344
47,,29.6637,24.8500,21.0625
47.25,,30.1396,25.2625,21.3906
47.5,,30.6205,25.6750,21.7188
47.75,,31.1066,26.0875,22.0469
48,,31.5977,26.5000,22.3750
48.25,,32.0940,26.9375,22.7188
48.5,,32.5955,27.3750,23.0625
48.75,,33.1021,27.8125,23.4063
49,,33.6140,28.2500,23.7500
49.25,,34.1311,28.6875,24.1250
49.5,,34.6535,29.1250,24.5000
49.75,,35.1812,29.5625,24.8750
50,,35.7143,30.0000,25.2500
50.25,,36.2527,,25.6250
50.5,,36.7965,,26.0000
50.75,,37.3457,,26.3750
51,,37.9003,,26.7500
51.25,,38.4604,,27.1406
51.5,,39.0260,,27.5313
51.75,,39.5971,,27.9219
52,,40.1737,,28.3125
52.25,,40.7559,,28.7188
52.5,,41.3438,,29.1250
52.75,,41.9372,,29.5313
53,,42.5363,,29.9375
53.25,,43.1411,,30.3594
53.5,,43.7515,,30.7813
53.75,,44.3677,,31.2031
54,,44.9897,,31.6250
