Length,MN,CR,ND,NY
8,,0.190,0.200,
8.25,,0.208,0.225,
8.5,,0.227,0.250,
8.75,,0.248,0.275,
9,,0.270,0.300,
9.25,,0.293,0.300,
9.5,,0.318,0.300,
9.75,,0.343,0.300,
10,,0.370,0.300,
10.25,,0.399,0.325,
10.5,,0.429,0.350,
10.75,,0.460,0.375,
11,,0.493,0.400,
11.25,,0.527,0.450,
11.5,,0.563,0.500,
11.75,,0.601,0.550,
12,,0.640,0.600,
12.25,,0.681,0.625,
12.5,,0.723,0.650,
12.75,,0.768,0.675,
13,,0.814,0.700,
13.25,,0.862,0.750,
13.5,,0.911,0.800,
13.75,,0.963,0.850,
14,1.000,1.016,0.900,
14.25,1.050,1.072,0.950,
14.5,1.100,1.129,1.000,
14.75,1.150,1.189,1.050,
15,1.200,1.250,1.100,1.063
15.25,1.275,1.314,1.175,1.109
15.5,1.350,1.379,1.250,1.156
15.75,1.425,1.447,1.325,1.203
16,1.500,1.517,1.400,1.250
16.25,1.575,1.589,1.475,1.328
16.5,1.650,1.664,1.550,1.406
16.75,1.725,1.741,1.625,1.484
17,1.800,1.820,1.700,1.563
17.25,1.900,1.901,1.775,1.641
17.5,2.000,1.985,1.850,1.719
17.75,2.100,2.071,1.925,1.797
18,2.200,2.160,2.000,1.875
18.25,2.275,2.251,2.100,1.969
18.5,2.350,2.345,2.200,2.063
18.75,2.425,2.441,2.300,2.156
19,2.500,2.540,2.400,2.250
19.25,2.625,2.642,2.525,2.344
19.5,2.750,2.746,2.650,2.438
19.75,2.875,2.853,2.775,2.531
20,3.000,2.963,2.900,2.625
20.25,3.125,3.075,3.000,2.734
20.5,3.250,3.191,3.100,2.844
20.75,3.375,3.309,3.200,2.953
21,3.500,3.430,3.300,3.063
21.25,3.650,3.554,3.450,3.188
21.5,3.800,3.681,3.600,3.313
21.75,3.950,3.811,3.750,3.438
22,4.100,3.944,3.900,3.563
22.25,4.250,4.080,4.050,3.688
22.5,4.400,4.219,4.200,3.813
22.75,4.550,4.361,4.350,3.938
23,4.700,4.506,4.500,4.063
23.25,4.875,4.655,4.650,4.219
23.5,5.050,4.807,4.800,4.375
23.75,5.225,4.962,4.950,4.531
24,5.400,5.120,5.100,4.688
24.25,5.575,5.282,5.275,4.844
24.5,5.750,5.447,5.450,5.000
24.75,5.925,5.615,5.625,5.156
25,6.100,5.787,5.800,5.313
25.25,6.300,5.962,6.000,5.484
25.5,6.500,6.141,6.200,5.656
25.75,6.700,6.324,6.400,5.828
26,6.900,6.510,6.600,6.000
26.25,7.125,6.699,6.800,6.188
26.5,7.350,6.892,7.000,6.375
26.75,7.575,7.089,7.200,6.563
27,7.800,7.290,7.400,6.750
27.25,8.050,7.494,7.625,6.969
27.5,8.300,7.703,7.850,7.188
27.75,8.550,7.915,8.075,7.406
28,8.800,8.130,8.300,7.625
28.25,9.050,8.350,8.550,7.859
28.5,9.300,8.574,8.800,8.094
28.75,9.550,8.801,9.050,8.328
29,9.800,9.033,9.300,8.563
29.25,,9.269,9.575,8.797
29.5,,9.508,9.850,9.031
29.75,,9.752,10.125,9.266
30,,10.000,10.400,9.500
30.25,,10.252,10.975,9.750
30.5,,10.508,11.550,10.000
30.75,,10.769,12.125,10.250
31,,11.034,12.700,10.500
31.25,,11.303,,10.828
31.5,,11.576,,11.156
31.75,,11.854,,11.484
32,,12.136,,11.813
32.25,,12.423,,12.063
32.5,,12.714,,12.313
32.75,,13.010,,12.563
33,,13.310,,12.813
33.25,,13.615,,13.125
33.5,,13.924,,13.438
33.75,,14.238,,13.750
34,,14.557,,14.063
34.25,,14.881,,14.406
34.5,,15.209,,14.750
34.75,,15.542,,15.094
35,,15.880,,15.438
